DATE,USREC
1896-03-01,1
1896-04-01,1
1896-05-01,1
1896-06-01,1
1896-07-01,1
1896-08-01,1
1896-09-01,1
1896-10-01,1
1896-11-01,1
1896-12-01,1
1897-01-01,1
1897-02-01,1
1897-03-01,1
1897-04-01,1
1897-05-01,1
1897-06-01,1
1897-07-01,0
1897-08-01,0
1897-09-01,0
1897-10-01,0
1897-11-01,0
1897-12-01,0
1898-01-01,0
1898-02-01,0
1898-03-01,0
1898-04-01,0
1898-05-01,0
1898-06-01,0
1898-07-01,0
1898-08-01,0
1898-09-01,0
1898-10-01,0
1898-11-01,0
1898-12-01,0
1899-01-01,0
1899-02-01,0
1899-03-01,0
1899-04-01,0
1899-05-01,0
1899-06-01,0
1899-07-01,1
1899-08-01,1
1899-09-01,1
1899-10-01,1
1899-11-01,1
1899-12-01,1
01/01/1900,1
01/02/1900,1
01/03/1900,1
01/04/1900,1
01/05/1900,1
01/06/1900,1
01/07/1900,1
01/08/1900,1
01/09/1900,1
01/10/1900,1
01/11/1900,1
01/12/1900,1
01/01/1901,0
01/02/1901,0
01/03/1901,0
01/04/1901,0
01/05/1901,0
01/06/1901,0
01/07/1901,0
01/08/1901,0
01/09/1901,0
01/10/1901,0
01/11/1901,0
01/12/1901,0
01/01/1902,0
01/02/1902,0
01/03/1902,0
01/04/1902,0
01/05/1902,0
01/06/1902,0
01/07/1902,0
01/08/1902,0
01/09/1902,0
01/10/1902,1
01/11/1902,1
01/12/1902,1
01/01/1903,1
01/02/1903,1
01/03/1903,1
01/04/1903,1
01/05/1903,1
01/06/1903,1
01/07/1903,1
01/08/1903,1
01/09/1903,1
01/10/1903,1
01/11/1903,1
01/12/1903,1
01/01/1904,1
01/02/1904,1
01/03/1904,1
01/04/1904,1
01/05/1904,1
01/06/1904,1
01/07/1904,1
01/08/1904,1
01/09/1904,0
01/10/1904,0
01/11/1904,0
01/12/1904,0
01/01/1905,0
01/02/1905,0
01/03/1905,0
01/04/1905,0
01/05/1905,0
01/06/1905,0
01/07/1905,0
01/08/1905,0
01/09/1905,0
01/10/1905,0
01/11/1905,0
01/12/1905,0
01/01/1906,0
01/02/1906,0
01/03/1906,0
01/04/1906,0
01/05/1906,0
01/06/1906,0
01/07/1906,0
01/08/1906,0
01/09/1906,0
01/10/1906,0
01/11/1906,0
01/12/1906,0
01/01/1907,0
01/02/1907,0
01/03/1907,0
01/04/1907,0
01/05/1907,0
01/06/1907,1
01/07/1907,1
01/08/1907,1
01/09/1907,1
01/10/1907,1
01/11/1907,1
01/12/1907,1
01/01/1908,1
01/02/1908,1
01/03/1908,1
01/04/1908,1
01/05/1908,1
01/06/1908,1
01/07/1908,0
01/08/1908,0
01/09/1908,0
01/10/1908,0
01/11/1908,0
01/12/1908,0
01/01/1909,0
01/02/1909,0
01/03/1909,0
01/04/1909,0
01/05/1909,0
01/06/1909,0
01/07/1909,0
01/08/1909,0
01/09/1909,0
01/10/1909,0
01/11/1909,0
01/12/1909,0
01/01/1910,0
01/02/1910,1
01/03/1910,1
01/04/1910,1
01/05/1910,1
01/06/1910,1
01/07/1910,1
01/08/1910,1
01/09/1910,1
01/10/1910,1
01/11/1910,1
01/12/1910,1
01/01/1911,1
01/02/1911,1
01/03/1911,1
01/04/1911,1
01/05/1911,1
01/06/1911,1
01/07/1911,1
01/08/1911,1
01/09/1911,1
01/10/1911,1
01/11/1911,1
01/12/1911,1
01/01/1912,1
01/02/1912,0
01/03/1912,0
01/04/1912,0
01/05/1912,0
01/06/1912,0
01/07/1912,0
01/08/1912,0
01/09/1912,0
01/10/1912,0
01/11/1912,0
01/12/1912,0
01/01/1913,0
01/02/1913,1
01/03/1913,1
01/04/1913,1
01/05/1913,1
01/06/1913,1
01/07/1913,1
01/08/1913,1
01/09/1913,1
01/10/1913,1
01/11/1913,1
01/12/1913,1
01/01/1914,1
01/02/1914,1
01/03/1914,1
01/04/1914,1
01/05/1914,1
01/06/1914,1
01/07/1914,1
01/08/1914,1
01/09/1914,1
01/10/1914,1
01/11/1914,1
01/12/1914,1
01/01/1915,0
01/02/1915,0
01/03/1915,0
01/04/1915,0
01/05/1915,0
01/06/1915,0
01/07/1915,0
01/08/1915,0
01/09/1915,0
01/10/1915,0
01/11/1915,0
01/12/1915,0
01/01/1916,0
01/02/1916,0
01/03/1916,0
01/04/1916,0
01/05/1916,0
01/06/1916,0
01/07/1916,0
01/08/1916,0
01/09/1916,0
01/10/1916,0
01/11/1916,0
01/12/1916,0
01/01/1917,0
01/02/1917,0
01/03/1917,0
01/04/1917,0
01/05/1917,0
01/06/1917,0
01/07/1917,0
01/08/1917,0
01/09/1917,0
01/10/1917,0
01/11/1917,0
01/12/1917,0
01/01/1918,0
01/02/1918,0
01/03/1918,0
01/04/1918,0
01/05/1918,0
01/06/1918,0
01/07/1918,0
01/08/1918,0
01/09/1918,1
01/10/1918,1
01/11/1918,1
01/12/1918,1
01/01/1919,1
01/02/1919,1
01/03/1919,1
01/04/1919,0
01/05/1919,0
01/06/1919,0
01/07/1919,0
01/08/1919,0
01/09/1919,0
01/10/1919,0
01/11/1919,0
01/12/1919,0
01/01/1920,0
01/02/1920,1
01/03/1920,1
01/04/1920,1
01/05/1920,1
01/06/1920,1
01/07/1920,1
01/08/1920,1
01/09/1920,1
01/10/1920,1
01/11/1920,1
01/12/1920,1
01/01/1921,1
01/02/1921,1
01/03/1921,1
01/04/1921,1
01/05/1921,1
01/06/1921,1
01/07/1921,1
01/08/1921,0
01/09/1921,0
01/10/1921,0
01/11/1921,0
01/12/1921,0
01/01/1922,0
01/02/1922,0
01/03/1922,0
01/04/1922,0
01/05/1922,0
01/06/1922,0
01/07/1922,0
01/08/1922,0
01/09/1922,0
01/10/1922,0
01/11/1922,0
01/12/1922,0
01/01/1923,0
01/02/1923,0
01/03/1923,0
01/04/1923,0
01/05/1923,0
01/06/1923,1
01/07/1923,1
01/08/1923,1
01/09/1923,1
01/10/1923,1
01/11/1923,1
01/12/1923,1
